Sensor0,Sensor1,Sensor2,Sensor3,o/p
25070,31260,28863,32295,A
24866,31138,28905,32302,A
24895,31113,28884,32743,A
24833,31611,28921,32357,A
24888,31197,29266,32767,A
24876,31196,28993,32767,A
24993,31052,28887,32767,A
24811,31582,28734,32266,A
24881,31183,29225,32767,A
24767,31593,28880,32509,A
24853,31205,29228,32766,A
24878,31173,29033,32767,A
24882,31185,28929,32506,A
25178,31677,29300,32723,A
24953,31144,29144,32767,A
24689,31193,28987,32767,A
24827,31434,29038,32767,A
25028,31361,29058,32577,A
25064,31461,29050,32767,A
24890,31190,29194,32767,A
25029,31446,29065,32767,A
25011,31248,28987,32767,A
25002,31258,28922,32369,A
25231,31701,29337,32717,A
25015,31373,29127,32767,A
24949,31173,29026,32767,A
24824,31426,29028,32767,A
24927,31475,29045,32525,A
25029,31348,29198,32621,A
25113,31428,29042,32767,A
25025,31360,29128,32767,A
24974,31419,29020,32767,A
25030,31398,28983,32640,A
25029,31435,29049,32707,A
25028,31353,29173,32767,A
24966,31567,29068,32538,A
24808,31413,29025,32767,A
25029,31337,28954,32711,A
25027,31371,29285,32767,A
25030,31420,29028,32767,A
24977,31359,29175,32767,A
24927,31283,29035,32500,A
25019,31366,28989,32721,A
24953,31637,29069,32556,A
25032,31380,29112,32767,A
25001,31356,29184,32767,A
25009,31132,29050,32767,A
25037,31371,29085,32567,A
24965,31275,29044,32767,A
25028,31360,29098,32767,A
24947,31211,29012,32757,A
25020,31349,29017,32592,A
24939,31507,29102,32589,A
24932,31587,29096,32524,A
25025,31448,29085,32767,A
24910,31485,28916,32522,A
25034,31442,29040,32611,A
24960,31539,29106,32440,A
25027,31446,29066,32767,A
25031,31397,29163,32767,A
24881,31440,29026,32746,A
25031,31388,29044,32767,A
25042,31467,29043,32641,A
25050,31386,29201,32766,A
24992,31317,29043,32767,A
24930,31413,28970,32767,A
25090,31486,29124,32483,A
25042,31444,29072,32767,A
24961,31543,29079,32562,A
25050,31459,29025,32767,A
24973,31551,29104,32552,A
25048,31462,28906,32525,A
24989,31543,29102,32495,A
25054,31462,29019,32767,A
25045,31409,29097,32767,A
24960,31244,29000,32510,A
25048,31412,29013,32453,A
24975,31575,29096,32489,A
25043,31447,29016,32751,A
25045,31380,29176,32759,A
24990,31428,29062,32767,A
24958,31553,29077,32541,A
25034,31449,29015,32767,A
25023,31386,29129,32767,A
24958,31478,29038,32767,A
25025,31436,29041,32613,A
25034,31438,29086,32548,A
24977,31608,29102,32520,A
25050,31442,29047,32767,A
25057,31398,29173,32767,A
25078,31325,29007,32589,A
25090,31455,29051,32698,A
25096,31416,29142,32767,A
25065,31384,29203,32767,A
